               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.071607,            0.029574,            0.010522,           0.0038074,                 0.7,            0.037452,            0.011246,            0.070916,            0.019245,            0.012032,             0.03528,             0.00628,             0.00628
                  36,            0.070283,            0.026801,           0.0095445,           0.0038074,                 0.7,            0.037452,            0.011246,            0.070916,            0.019245,            0.012032,            0.033433,           0.0064328,           0.0064328
                  37,            0.075209,            0.028468,            0.010441,           0.0049324,                 0.9,            0.035815,            0.015192,            0.068367,            0.019623,            0.011301,            0.031584,           0.0065842,           0.0065842
                  38,            0.076328,            0.026848,             0.01163,           0.0051044,                 0.9,            0.044336,             0.01283,            0.069962,            0.019226,           0.0097076,            0.029734,           0.0067344,           0.0067344
                  39,            0.074613,             0.03711,            0.011526,           0.0051044,                 0.9,            0.044336,             0.01283,            0.069962,            0.019226,           0.0097076,            0.027883,           0.0068833,           0.0068833
                  40,            0.073031,            0.032831,            0.010044,           0.0032602,             0.53333,            0.069544,            0.015328,            0.080161,            0.016865,            0.012488,            0.026031,           0.0070308,           0.0070308
                  41,            0.074957,            0.032694,           0.0080674,           0.0039172,             0.73333,            0.090714,            0.027485,            0.067897,            0.019543,            0.008461,            0.024177,            0.007177,            0.007177
                  42,            0.074692,            0.030975,           0.0086365,           0.0039172,             0.73333,            0.090714,            0.027485,            0.067897,            0.019543,            0.008461,            0.022322,           0.0073219,           0.0073219
                  43,            0.078003,            0.027905,           0.0090173,           0.0039327,             0.73333,             0.09772,            0.023397,            0.073071,            0.018257,           0.0080429,            0.020465,           0.0074655,           0.0074655
                  44,            0.076691,            0.026418,             0.01027,           0.0039327,             0.73333,             0.09772,            0.023397,            0.073071,            0.018257,           0.0080429,            0.018608,           0.0076077,           0.0076077
                  45,            0.081219,            0.026864,            0.010425,           0.0038892,             0.73333,            0.094768,            0.019433,            0.071257,            0.018993,           0.0073883,            0.016749,           0.0077486,           0.0077486
                  46,            0.077302,            0.029952,           0.0082779,           0.0038892,             0.73333,            0.094768,            0.019433,            0.071257,            0.018993,           0.0073883,            0.014888,           0.0078883,           0.0078883
                  47,            0.071832,            0.027001,           0.0088805,           0.0058489,                   1,             0.17793,            0.032985,             0.07238,            0.018581,           0.0070526,            0.013027,           0.0080266,           0.0080266
                  48,            0.070557,            0.026138,           0.0079832,           0.0058489,                   1,             0.17793,            0.032985,             0.07238,            0.018581,           0.0070526,            0.011164,           0.0081635,           0.0081635
                  49,            0.068152,            0.026423,           0.0088915,           0.0045363,             0.83333,            0.096557,            0.022473,            0.073162,             0.01791,           0.0063751,           0.0092992,           0.0082992,           0.0082992
                  50,            0.075249,            0.034512,           0.0070467,           0.0045363,             0.83333,            0.096557,            0.022473,            0.073162,             0.01791,           0.0063751,             0.00835,             0.00835,             0.00835
