               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11268,            0.030481,            0.027489,           0.0023692,              0.4359,            0.011759,           0.0030267,            0.081737,            0.013165,            0.020551,              0.0847,              0.0017,              0.0017
                   1,            0.089964,            0.029559,            0.020324,             0.73366,            0.096154,            0.098347,            0.026122,            0.068569,            0.011039,            0.017526,            0.068488,           0.0034885,           0.0034885
                   2,            0.077257,            0.026732,            0.015517,             0.70849,             0.21795,             0.21511,             0.10745,            0.057671,           0.0086931,            0.013647,            0.052265,            0.005265,            0.005265
                   3,            0.074106,            0.025517,            0.010249,             0.70559,             0.25516,             0.21707,             0.11959,            0.056358,           0.0057642,            0.010787,             0.03603,           0.0070297,           0.0070297
                   4,            0.069824,            0.022594,           0.0070739,             0.76318,             0.22086,             0.27068,             0.15148,            0.059767,           0.0050929,           0.0090551,            0.019783,           0.0087825,           0.0087825
                   5,            0.067879,            0.021618,           0.0057962,             0.74578,             0.23718,              0.2478,             0.11197,            0.059374,           0.0054803,            0.010035,            0.009835,            0.009835,            0.009835
                   6,            0.064392,            0.022646,           0.0041498,             0.68258,             0.12821,             0.13995,            0.065805,            0.055341,           0.0059453,            0.010676,            0.009835,            0.009835,            0.009835
                   7,             0.06437,            0.021361,            0.005582,              0.8094,             0.29139,             0.27913,             0.13032,            0.055812,           0.0053709,           0.0068398,            0.009802,            0.009802,            0.009802
                   8,             0.05799,            0.020791,           0.0038004,             0.63198,             0.22436,             0.11211,            0.043701,            0.060076,            0.005196,           0.0093625,            0.009769,            0.009769,            0.009769
                   9,              0.0571,            0.020142,           0.0044568,             0.83147,             0.26282,             0.29974,              0.1226,            0.054581,           0.0055823,           0.0035632,            0.009736,            0.009736,            0.009736
                  10,            0.058331,            0.019909,            0.002658,             0.80219,             0.33974,             0.28803,             0.14309,            0.058079,           0.0052435,           0.0029516,            0.009703,            0.009703,            0.009703
                  11,            0.053024,            0.019043,           0.0029292,             0.69176,             0.28714,             0.22129,             0.10342,            0.053655,           0.0053892,           0.0069121,             0.00967,             0.00967,             0.00967
                  12,            0.058116,            0.019535,           0.0026872,             0.65015,             0.23077,             0.14269,            0.055964,            0.054428,            0.005845,           0.0056566,            0.009637,            0.009637,            0.009637
                  13,            0.054933,             0.01917,           0.0026306,             0.76774,             0.28205,             0.27225,             0.14499,            0.057871,           0.0053496,            0.013056,            0.009604,            0.009604,            0.009604
                  14,            0.050444,            0.017906,           0.0025439,             0.81222,             0.23077,             0.28353,             0.15693,            0.055591,           0.0055371,           0.0063707,            0.009571,            0.009571,            0.009571
                  15,            0.049291,            0.018826,           0.0033908,             0.56589,             0.16026,            0.058148,            0.020739,            0.057519,           0.0064898,           0.0043458,            0.009538,            0.009538,            0.009538
                  16,            0.051141,            0.016935,           0.0029234,             0.78595,             0.32692,             0.35086,             0.19207,            0.044607,           0.0055918,           0.0023638,            0.009505,            0.009505,            0.009505
                  17,            0.056014,            0.017915,           0.0024448,             0.76621,             0.40146,             0.32021,             0.18545,            0.043227,           0.0056742,           0.0026501,            0.009472,            0.009472,            0.009472
                  18,            0.051609,            0.016967,            0.001574,              0.8245,             0.32051,             0.35288,             0.20827,            0.044441,           0.0048226,           0.0017777,            0.009439,            0.009439,            0.009439
                  19,            0.052594,            0.015068,           0.0017554,             0.82904,             0.36538,             0.38314,             0.25429,            0.043261,           0.0047126,           0.0042583,            0.009406,            0.009406,            0.009406
                  20,            0.049033,            0.015902,           0.0037881,             0.74598,             0.31659,             0.26289,             0.16076,            0.042442,            0.005933,           0.0035088,            0.009373,            0.009373,            0.009373
                  21,            0.050623,            0.016354,            0.002161,             0.90544,             0.39103,             0.44979,             0.25462,            0.039739,           0.0046722,           0.0030646,             0.00934,             0.00934,             0.00934
                  22,            0.048746,             0.01569,           0.0019978,             0.82297,             0.35084,             0.34978,              0.1613,            0.047309,           0.0051084,           0.0013848,            0.009307,            0.009307,            0.009307
                  23,            0.046773,            0.015488,           0.0017332,             0.93485,              0.4359,             0.45738,              0.3149,            0.037413,           0.0052187,           0.0059343,            0.009274,            0.009274,            0.009274
                  24,            0.046135,            0.015736,           0.0023944,             0.91515,             0.36538,             0.44298,             0.30074,             0.03781,           0.0045822,           0.0015315,            0.009241,            0.009241,            0.009241
                  25,            0.044935,            0.014811,            0.001191,             0.93471,             0.42685,             0.48618,             0.34986,            0.037151,           0.0044709,           0.0018314,            0.009208,            0.009208,            0.009208
                  26,            0.042274,            0.015686,           0.0030454,             0.95055,             0.39744,              0.4665,             0.36991,            0.040073,           0.0044431,           0.0031418,            0.009175,            0.009175,            0.009175
                  27,            0.044194,            0.015931,           0.0029889,             0.92504,             0.39983,             0.46194,             0.35076,            0.037885,           0.0044593,            0.006676,            0.009142,            0.009142,            0.009142
                  28,            0.039048,            0.014641,           0.0013158,             0.96081,              0.4359,             0.48063,             0.34991,            0.039832,           0.0045978,           0.0057974,            0.009109,            0.009109,            0.009109
                  29,            0.043997,            0.015646,           0.0018372,             0.89957,             0.38462,             0.43572,             0.27951,            0.041568,           0.0045153,            0.013024,            0.009076,            0.009076,            0.009076
                  30,            0.041141,            0.013756,           0.0013966,             0.88003,             0.36549,              0.4194,             0.30345,            0.040123,           0.0046966,             0.01212,            0.009043,            0.009043,            0.009043
                  31,            0.041825,            0.015547,           0.0021202,             0.93161,             0.40456,             0.44684,             0.30556,            0.041793,            0.004613,           0.0085077,             0.00901,             0.00901,             0.00901
                  32,            0.040391,            0.014439,           0.0023791,             0.90642,             0.37821,             0.46402,               0.337,            0.037792,            0.004754,           0.0063365,            0.008977,            0.008977,            0.008977
                  33,            0.043238,             0.01456,           0.0017014,             0.95252,             0.46154,             0.51047,             0.36956,            0.032492,           0.0041211,           0.0060278,            0.008944,            0.008944,            0.008944
                  34,            0.040564,            0.013957,           0.0017905,              0.9554,             0.44872,             0.47045,             0.33663,            0.036559,            0.003764,            0.005474,            0.008911,            0.008911,            0.008911
                  35,            0.040696,            0.014037,           0.0012813,             0.84671,             0.42308,             0.38078,             0.24563,            0.039301,           0.0048495,           0.0059405,            0.008878,            0.008878,            0.008878
                  36,            0.043778,            0.014054,           0.0017969,             0.88695,             0.40385,             0.43371,              0.3132,            0.040782,           0.0042646,           0.0074506,            0.008845,            0.008845,            0.008845
                  37,            0.039324,            0.014348,            0.001345,             0.93313,              0.4359,             0.45153,             0.34904,            0.040314,           0.0040052,            0.011339,            0.008812,            0.008812,            0.008812
                  38,             0.03991,            0.013135,           0.0014853,             0.91539,             0.40915,             0.57082,             0.38829,            0.033611,           0.0039241,            0.025034,            0.008779,            0.008779,            0.008779
                  39,            0.041051,            0.013332,           0.0018604,             0.92992,             0.42308,             0.50887,             0.39556,            0.036758,           0.0038245,            0.011847,            0.008746,            0.008746,            0.008746
                  40,            0.040716,            0.013909,           0.0011088,              0.9175,             0.42175,             0.46767,             0.35961,            0.040708,           0.0037253,             0.01187,            0.008713,            0.008713,            0.008713
                  41,            0.039519,            0.013111,          0.00095835,             0.91181,             0.33974,             0.50361,             0.33224,            0.037207,           0.0036005,           0.0097086,             0.00868,             0.00868,             0.00868
                  42,            0.038048,            0.014117,           0.0014439,             0.79302,             0.41026,             0.65204,             0.41273,            0.038279,           0.0036364,           0.0083931,            0.008647,            0.008647,            0.008647
                  43,            0.037891,            0.013674,           0.0014776,             0.84946,             0.46154,              0.5713,              0.3873,            0.036194,           0.0040316,           0.0059505,            0.008614,            0.008614,            0.008614
                  44,            0.036368,            0.012993,           0.0014521,             0.96466,             0.44231,             0.52454,             0.36665,            0.040542,           0.0036081,           0.0066707,            0.008581,            0.008581,            0.008581
                  45,            0.037526,            0.012997,          0.00095235,              0.9557,              0.4616,             0.50736,             0.37824,            0.040232,           0.0036966,           0.0081912,            0.008548,            0.008548,            0.008548
                  46,            0.036705,            0.013699,           0.0014345,             0.92667,             0.37301,              0.4813,             0.39221,            0.038552,           0.0044669,           0.0044681,            0.008515,            0.008515,            0.008515
                  47,            0.032625,            0.013306,          0.00096956,             0.87084,             0.26923,             0.39787,             0.29171,            0.041307,           0.0043094,            0.012438,            0.008482,            0.008482,            0.008482
                  48,            0.035208,            0.013818,           0.0013125,             0.87953,             0.32692,             0.45087,             0.34977,            0.040663,           0.0040406,            0.015442,            0.008449,            0.008449,            0.008449
                  49,            0.034314,            0.012382,           0.0017119,              0.9272,             0.30128,              0.5082,             0.33457,            0.036414,           0.0038381,            0.015829,            0.008416,            0.008416,            0.008416
                  50,            0.038682,            0.013243,           0.0019638,             0.87479,             0.37179,             0.47365,             0.36938,            0.040186,           0.0038627,            0.015651,            0.008383,            0.008383,            0.008383
                  51,            0.034802,             0.01266,           0.0014644,             0.78841,             0.45513,             0.46107,              0.3514,            0.041362,           0.0039319,            0.012165,             0.00835,             0.00835,             0.00835
                  52,            0.036729,            0.012965,           0.0013462,             0.85421,             0.45513,             0.46349,             0.35003,            0.042456,           0.0043275,            0.012568,            0.008317,            0.008317,            0.008317
                  53,            0.034466,            0.013392,           0.0011465,               0.801,             0.37814,              0.4162,             0.33123,            0.039384,           0.0036904,           0.0084621,            0.008284,            0.008284,            0.008284
                  54,            0.033899,            0.012992,          0.00094731,             0.96396,             0.33014,             0.44779,             0.35407,            0.035157,            0.003796,           0.0080505,            0.008251,            0.008251,            0.008251
                  55,            0.032941,            0.013299,           0.0010731,             0.48597,             0.60577,             0.52394,             0.38766,            0.035022,           0.0033023,           0.0073414,            0.008218,            0.008218,            0.008218
                  56,            0.034883,            0.012773,           0.0010962,             0.35291,             0.55634,             0.44147,             0.33128,            0.035446,           0.0035616,           0.0071678,            0.008185,            0.008185,            0.008185
                  57,            0.033878,             0.01255,           0.0010596,             0.51333,              0.5111,             0.54854,             0.36018,            0.033303,            0.003192,             0.01022,            0.008152,            0.008152,            0.008152
                  58,            0.032931,            0.012799,           0.0010353,             0.42208,             0.52107,             0.48635,              0.3696,            0.034954,           0.0035631,           0.0097323,            0.008119,            0.008119,            0.008119
                  59,            0.031917,              0.0117,          0.00088429,             0.47223,             0.58654,             0.49163,             0.40175,            0.033276,            0.003146,           0.0072923,            0.008086,            0.008086,            0.008086
                  60,            0.035306,            0.013238,           0.0012621,             0.50511,             0.45833,             0.38507,             0.26647,            0.035776,           0.0037393,           0.0053873,            0.008053,            0.008053,            0.008053
                  61,            0.030387,            0.012335,          0.00088004,             0.71197,             0.27564,              0.2696,             0.20406,            0.037265,           0.0044047,           0.0057157,             0.00802,             0.00802,             0.00802
                  62,            0.030017,            0.011516,          0.00080191,             0.92031,             0.44231,             0.44996,             0.36122,            0.034993,           0.0042241,           0.0089126,            0.007987,            0.007987,            0.007987
                  63,            0.031331,            0.012715,          0.00087925,              0.9558,             0.46154,             0.49843,             0.40376,            0.033865,            0.003653,           0.0036914,            0.007954,            0.007954,            0.007954
                  64,             0.03453,            0.012316,           0.0008077,             0.54373,             0.59295,              0.5237,             0.41061,            0.033288,           0.0032764,           0.0029328,            0.007921,            0.007921,            0.007921
                  65,            0.034412,            0.013054,           0.0010731,             0.70698,             0.47756,             0.57325,             0.43655,             0.03104,           0.0035661,           0.0038545,            0.007888,            0.007888,            0.007888
                  66,            0.029921,             0.01299,          0.00095341,             0.71407,             0.46946,             0.59109,             0.44719,             0.02978,           0.0033294,           0.0045672,            0.007855,            0.007855,            0.007855
                  67,            0.030712,            0.012031,          0.00099431,             0.57395,              0.5609,             0.51393,             0.39278,             0.03397,           0.0034826,           0.0071563,            0.007822,            0.007822,            0.007822
                  68,            0.032274,            0.012223,          0.00092411,             0.87651,             0.54307,             0.60376,             0.44185,             0.03628,           0.0033771,           0.0083344,            0.007789,            0.007789,            0.007789
                  69,             0.03257,            0.011748,          0.00092709,             0.70846,             0.53971,             0.60559,             0.44983,            0.033704,           0.0031923,           0.0074425,            0.007756,            0.007756,            0.007756
                  70,            0.032681,             0.01204,          0.00080148,             0.85798,             0.56699,             0.59238,             0.47238,            0.034679,           0.0034018,            0.009817,            0.007723,            0.007723,            0.007723
                  71,            0.032949,            0.012013,          0.00079666,             0.89431,             0.55746,             0.58899,             0.39136,            0.035098,           0.0040789,           0.0080064,             0.00769,             0.00769,             0.00769
                  72,             0.03193,            0.012088,          0.00088759,             0.69934,             0.49894,             0.56922,             0.35906,            0.036228,           0.0038981,           0.0068507,            0.007657,            0.007657,            0.007657
                  73,             0.03171,             0.01228,          0.00084684,             0.71935,             0.40705,              0.5036,             0.35361,            0.040063,           0.0037099,           0.0052004,            0.007624,            0.007624,            0.007624
                  74,            0.030703,            0.011739,           0.0010809,             0.81289,             0.39276,             0.50795,              0.3629,            0.039752,           0.0036979,           0.0060083,            0.007591,            0.007591,            0.007591
                  75,            0.028925,            0.012379,          0.00065457,             0.78706,             0.50962,             0.57807,             0.44205,            0.038683,           0.0033819,           0.0060092,            0.007558,            0.007558,            0.007558
                  76,            0.031084,            0.011542,           0.0017183,             0.84194,              0.5686,             0.59517,             0.44645,            0.037873,           0.0033391,           0.0077858,            0.007525,            0.007525,            0.007525
                  77,            0.027521,            0.011299,          0.00085633,              0.6913,             0.57372,             0.60771,              0.4075,            0.039207,           0.0029951,           0.0082248,            0.007492,            0.007492,            0.007492
                  78,            0.029076,            0.012054,          0.00087854,             0.60513,             0.54198,             0.60485,             0.43088,            0.038175,           0.0031735,           0.0083662,            0.007459,            0.007459,            0.007459
                  79,            0.030713,            0.012156,          0.00082862,             0.47998,             0.52885,             0.46606,             0.36286,            0.038817,           0.0035088,           0.0091143,            0.007426,            0.007426,            0.007426
                  80,            0.029119,            0.012039,          0.00072277,             0.50633,             0.46474,             0.43606,             0.33262,            0.040194,           0.0034819,           0.0094718,            0.007393,            0.007393,            0.007393
                  81,            0.030215,            0.011347,          0.00074221,             0.47969,             0.51603,             0.46231,             0.36526,            0.034354,           0.0034874,            0.010155,             0.00736,             0.00736,             0.00736
                  82,            0.029834,            0.010855,          0.00063579,             0.79088,             0.46474,             0.51794,             0.39269,            0.035965,           0.0039586,            0.011254,            0.007327,            0.007327,            0.007327
                  83,            0.030408,            0.010948,           0.0007316,             0.88751,             0.47334,             0.56287,             0.41089,            0.035646,            0.003725,            0.009603,            0.007294,            0.007294,            0.007294
                  84,            0.032191,            0.011096,          0.00065515,             0.79795,             0.54839,             0.59665,             0.44912,            0.035622,           0.0032431,           0.0060765,            0.007261,            0.007261,            0.007261
                  85,            0.027139,            0.011461,          0.00071137,               0.776,             0.47479,             0.60317,             0.44291,            0.035766,           0.0030859,           0.0024369,            0.007228,            0.007228,            0.007228
                  86,            0.027532,             0.01099,           0.0006567,             0.75889,             0.48017,             0.59343,             0.42662,            0.036226,           0.0031764,           0.0043948,            0.007195,            0.007195,            0.007195
                  87,            0.031435,            0.011585,          0.00074515,             0.92106,             0.41028,             0.45763,             0.38862,             0.03816,           0.0040035,           0.0085087,            0.007162,            0.007162,            0.007162
                  88,            0.027884,            0.011558,          0.00062501,             0.82423,             0.36658,             0.35989,             0.28387,            0.042963,           0.0043022,           0.0077687,            0.007129,            0.007129,            0.007129
                  89,             0.02907,            0.011433,          0.00073482,             0.89726,             0.35897,             0.47205,             0.39477,            0.037263,           0.0033915,           0.0088531,            0.007096,            0.007096,            0.007096
                  90,            0.030024,            0.011151,          0.00097862,             0.88361,             0.40143,             0.47247,             0.38598,            0.037291,           0.0033696,            0.010537,            0.007063,            0.007063,            0.007063
                  91,            0.027726,            0.011343,          0.00084606,             0.58685,             0.40705,             0.52704,             0.37545,            0.032394,           0.0035541,           0.0066105,             0.00703,             0.00703,             0.00703
                  92,            0.030136,            0.011462,           0.0007757,             0.34906,             0.46474,             0.45851,             0.32201,            0.032851,           0.0039885,           0.0029407,            0.006997,            0.006997,            0.006997
                  93,            0.027472,            0.010774,          0.00064578,             0.71789,             0.41346,             0.47858,             0.36483,            0.032137,           0.0040038,           0.0035694,            0.006964,            0.006964,            0.006964
                  94,            0.026745,            0.011197,          0.00054432,             0.80262,             0.49362,             0.55053,             0.40338,            0.032299,           0.0036602,            0.003638,            0.006931,            0.006931,            0.006931
                  95,            0.028766,             0.01049,          0.00067614,             0.78686,             0.59936,             0.60089,              0.4365,            0.032474,           0.0034221,           0.0050191,            0.006898,            0.006898,            0.006898
                  96,            0.029048,            0.010587,          0.00068505,             0.63335,             0.54167,             0.58952,             0.48792,            0.031137,           0.0032966,           0.0090546,            0.006865,            0.006865,            0.006865
                  97,            0.027079,             0.01081,           0.0006586,             0.58965,             0.49679,             0.53426,               0.431,            0.031343,           0.0036001,            0.016747,            0.006832,            0.006832,            0.006832
                  98,            0.028144,            0.010817,          0.00089482,             0.72523,             0.54808,              0.5712,             0.44765,            0.033784,           0.0035195,            0.016659,            0.006799,            0.006799,            0.006799
                  99,            0.026821,            0.011207,           0.0010293,             0.85595,             0.58013,             0.59566,             0.49356,            0.035024,           0.0032952,            0.016516,            0.006766,            0.006766,            0.006766
                 100,            0.026374,            0.010874,          0.00089819,             0.81366,             0.59936,             0.59985,             0.52121,            0.033988,           0.0033117,            0.017016,            0.006733,            0.006733,            0.006733
                 101,            0.030618,            0.011001,           0.0011923,             0.48654,             0.59936,             0.58169,             0.48708,            0.034883,           0.0036052,            0.018752,              0.0067,              0.0067,              0.0067
                 102,            0.027017,            0.010019,           0.0019924,             0.94728,             0.42308,             0.52054,             0.40358,            0.034164,           0.0034261,            0.020583,            0.006667,            0.006667,            0.006667
                 103,            0.026512,            0.010981,           0.0009817,             0.47945,             0.59936,             0.56841,             0.43368,            0.031696,           0.0037113,            0.017517,            0.006634,            0.006634,            0.006634
                 104,            0.026489,            0.010965,           0.0011738,             0.81054,             0.54152,             0.59125,             0.47396,            0.030057,           0.0034057,            0.016523,            0.006601,            0.006601,            0.006601
                 105,            0.025396,            0.010958,          0.00076577,             0.63354,             0.54628,             0.58569,              0.4394,            0.035183,           0.0032877,           0.0094155,            0.006568,            0.006568,            0.006568
                 106,            0.023715,           0.0097227,           0.0010919,             0.71777,             0.44007,             0.54157,             0.38238,            0.037739,           0.0036163,           0.0074373,            0.006535,            0.006535,            0.006535
                 107,            0.026895,            0.011038,           0.0015342,             0.67567,             0.49062,             0.50868,             0.38685,            0.037122,           0.0038041,           0.0062247,            0.006502,            0.006502,            0.006502
                 108,            0.028432,            0.010956,          0.00076377,             0.67932,             0.52244,             0.52077,             0.37891,            0.037875,           0.0036859,           0.0088301,            0.006469,            0.006469,            0.006469
                 109,            0.025415,            0.010431,          0.00091702,             0.76174,             0.49356,             0.52767,             0.40103,            0.035116,           0.0037396,            0.010946,            0.006436,            0.006436,            0.006436
                 110,             0.02706,            0.011151,          0.00068051,             0.82419,             0.45192,             0.54667,             0.43661,            0.033775,           0.0036641,           0.0097742,            0.006403,            0.006403,            0.006403
                 111,            0.028464,            0.010785,          0.00069711,             0.87723,             0.41906,             0.55284,             0.46224,             0.03471,            0.003698,            0.011683,             0.00637,             0.00637,             0.00637
                 112,            0.023267,            0.010501,          0.00058613,             0.54675,             0.57372,             0.52229,             0.46545,            0.036757,           0.0037377,            0.011426,            0.006337,            0.006337,            0.006337
                 113,            0.030893,            0.010802,          0.00058807,             0.42663,             0.58654,              0.4873,              0.4062,            0.036994,           0.0037123,             0.01166,            0.006304,            0.006304,            0.006304
                 114,            0.027922,            0.011083,          0.00081844,             0.59572,             0.60577,             0.60316,             0.47665,            0.034542,           0.0034977,           0.0093999,            0.006271,            0.006271,            0.006271
                 115,            0.027532,             0.01062,           0.0010631,             0.64266,             0.47115,             0.47747,             0.36821,            0.036586,            0.004033,           0.0093141,            0.006238,            0.006238,            0.006238
                 116,            0.025873,            0.010278,           0.0010887,             0.59612,             0.47756,             0.48969,              0.3881,            0.034755,           0.0037545,             0.01171,            0.006205,            0.006205,            0.006205
                 117,            0.027604,            0.011306,          0.00057732,             0.69809,             0.44472,             0.49162,             0.38324,            0.033202,           0.0041087,           0.0093793,            0.006172,            0.006172,            0.006172
                 118,            0.022418,            0.010715,          0.00063894,             0.55806,             0.50881,             0.51391,             0.40288,            0.034624,           0.0039494,           0.0098094,            0.006139,            0.006139,            0.006139
                 119,            0.024321,           0.0099259,           0.0012122,             0.55935,             0.52122,             0.53745,             0.43144,            0.035222,           0.0037586,            0.010326,            0.006106,            0.006106,            0.006106
                 120,            0.025228,           0.0097962,          0.00090318,             0.55751,              0.5042,              0.5789,              0.4485,            0.034107,           0.0034055,           0.0078205,            0.006073,            0.006073,            0.006073
                 121,            0.026357,            0.010225,          0.00055633,             0.48758,             0.45089,             0.53771,             0.45051,            0.034687,           0.0038232,           0.0044111,             0.00604,             0.00604,             0.00604
                 122,            0.027184,            0.010104,          0.00050597,             0.54859,             0.46745,             0.55378,             0.44621,            0.033133,            0.003535,           0.0054817,            0.006007,            0.006007,            0.006007
                 123,            0.023453,            0.009913,          0.00054069,             0.73913,             0.50585,             0.58877,             0.49722,            0.032455,           0.0032265,           0.0060349,            0.005974,            0.005974,            0.005974
                 124,            0.030147,            0.010037,           0.0006033,             0.77403,             0.56279,             0.59082,             0.47696,            0.032689,           0.0033787,           0.0060008,            0.005941,            0.005941,            0.005941
                 125,            0.024336,           0.0098558,          0.00097521,             0.81151,             0.53278,             0.58983,             0.47365,            0.031048,           0.0034729,           0.0099995,            0.005908,            0.005908,            0.005908
                 126,            0.029363,            0.010889,          0.00099124,             0.88923,             0.51603,             0.57364,              0.4501,            0.032427,           0.0036491,           0.0099738,            0.005875,            0.005875,            0.005875
                 127,            0.021989,           0.0097558,          0.00049626,             0.79641,             0.52228,             0.57685,             0.47309,            0.032028,           0.0036446,            0.009183,            0.005842,            0.005842,            0.005842
                 128,            0.026062,           0.0098177,          0.00075596,             0.71536,             0.55449,             0.59295,              0.4911,            0.031041,           0.0033418,           0.0075496,            0.005809,            0.005809,            0.005809
                 129,            0.026795,            0.010505,           0.0010482,             0.67247,             0.50962,             0.59034,             0.48782,            0.030155,           0.0033562,           0.0061618,            0.005776,            0.005776,            0.005776
                 130,            0.026698,            0.010258,          0.00090787,             0.76063,             0.44439,             0.57621,             0.43923,            0.030097,           0.0034924,           0.0044667,            0.005743,            0.005743,            0.005743
                 131,            0.024308,           0.0099541,          0.00065291,             0.63415,             0.35179,             0.47577,             0.34305,            0.037186,           0.0039945,           0.0035556,             0.00571,             0.00571,             0.00571
                 132,             0.02745,            0.010654,          0.00077375,             0.75856,             0.40705,              0.5043,             0.40609,            0.034682,           0.0037927,           0.0064243,            0.005677,            0.005677,            0.005677
